,Emp_ID,Target
0,394,0
1,173,0
2,1090,0
3,840,0
4,308,0
5,1864,0
6,1606,0
7,954,0
8,2422,0
9,1841,0
10,1484,0
11,2727,0
12,1031,0
13,2137,1
14,2568,0
15,1745,0
16,2668,1
17,2617,0
18,2070,0
19,1446,0
20,1043,0
21,2561,0
22,945,0
23,2517,1
24,1039,0
25,2594,0
26,115,0
27,870,0
28,329,1
29,973,0
30,1892,1
31,2740,0
32,1093,0
33,693,0
34,1817,0
35,1753,0
36,2420,0
37,1655,0
38,1573,0
39,2365,0
40,1623,0
41,2625,0
42,1335,0
43,450,1
44,2087,0
45,2576,1
46,2771,0
47,1549,0
48,1657,0
49,1957,0
50,1662,1
51,1588,0
52,2615,1
53,2027,0
54,2714,1
55,556,0
56,377,0
57,605,0
58,791,0
59,1147,0
60,68,0
61,2784,0
62,1181,0
63,1782,0
64,2299,0
65,1238,0
66,402,0
67,1109,0
68,990,0
69,425,0
70,569,0
71,2454,0
72,926,0
73,391,0
74,2110,0
75,1875,0
76,117,0
77,1714,0
78,1106,0
79,422,0
80,150,0
81,2179,0
82,2684,1
83,762,0
84,718,0
85,1694,1
86,1051,0
87,2104,0
88,1225,0
89,63,0
90,275,1
91,1733,0
92,2541,0
93,140,0
94,1037,0
95,407,1
96,1770,0
97,946,0
98,604,0
99,893,0
100,2200,0
101,2114,0
102,1243,1
103,2076,0
104,2597,0
105,60,0
106,662,0
107,765,0
108,199,0
109,1526,1
110,1486,1
111,1179,0
112,1161,0
113,2259,0
114,1191,0
115,1811,0
116,1510,1
117,434,0
118,1918,0
119,753,0
120,25,1
121,1414,0
122,1426,1
123,716,0
124,2283,0
125,1840,0
126,1678,0
127,1859,0
128,2381,0
129,2008,1
130,1050,0
131,581,0
132,2289,0
133,713,0
134,1924,0
135,2257,0
136,1504,0
137,1670,1
138,2551,0
139,1874,0
140,26,1
141,2308,0
142,1259,0
143,77,1
144,568,0
145,1370,0
146,704,0
147,2494,0
148,1077,0
149,592,0
150,2390,1
151,832,0
152,904,0
153,2567,0
154,1274,0
155,2543,1
156,296,0
157,1374,0
158,1852,0
159,252,0
160,888,0
161,1234,0
162,112,0
163,2399,0
164,1265,0
165,2166,0
166,320,0
167,1968,0
168,2690,0
169,2228,0
170,56,0
171,723,0
172,560,0
173,580,0
174,1679,1
175,1783,0
176,371,0
177,2546,0
178,2505,0
179,2224,1
180,1271,0
181,213,0
182,1936,0
183,1642,0
184,1213,0
185,78,0
186,368,0
187,943,0
188,1165,0
189,1432,0
190,2223,0
191,2407,0
192,1316,0
193,1139,0
194,789,0
195,2552,0
196,2670,0
197,2028,1
198,67,0
199,2055,0
200,2198,0
201,2272,1
202,2210,0
203,2398,0
204,272,0
205,2754,0
206,2473,0
207,1327,0
208,359,0
209,2160,0
210,1563,0
211,1206,1
212,1858,0
213,516,1
214,41,1
215,1382,0
216,1405,1
217,2730,1
218,772,0
219,54,0
220,1222,0
221,697,0
222,453,0
223,1334,1
224,992,0
225,682,0
226,766,0
227,1283,0
228,2148,0
229,2729,0
230,1668,0
231,1290,0
232,1013,0
233,906,0
234,2357,0
235,87,0
236,2533,0
237,1532,0
238,1977,0
239,565,0
240,1598,0
241,400,0
242,2109,0
243,168,0
244,956,1
245,2417,0
246,1276,0
247,734,0
248,550,0
249,532,0
250,2708,0
251,2050,0
252,358,0
253,1177,0
254,1267,0
255,1982,0
256,933,1
257,538,0
258,1057,0
259,2453,0
260,188,0
261,2241,1
262,552,0
263,1119,1
264,2382,1
265,1284,0
266,2480,1
267,1658,0
268,582,0
269,2258,1
270,444,0
271,1633,1
272,1958,0
273,2334,0
274,2633,0
275,388,1
276,537,0
277,1579,0
278,2193,0
279,1263,1
280,2318,0
281,351,0
282,835,0
283,493,1
284,341,0
285,191,0
286,1929,1
287,991,0
288,828,0
289,234,0
